tripduration,starttime,stoptime,start.station.latitude,start.station.longitude,end.station.latitude,end.station.longitude,bikeid,usertype,birth.year,gender,start.date
2082,42:04.5,16:46.8,40.72528911,-74.04557168,40.73496102,-74.05950308,42208,Subscriber,1994,2,4/26/20
437,14:43.1,22:00.7,40.7192517,-74.034234,40.72333159,-74.04595256,29677,Customer,1987,2,4/17/19
675,36:00.4,47:15.8,40.72333159,-74.04595256,40.7311689,-74.0575736,44239,Customer,1985,1,9/6/20
951,24:32.2,40:24.0,40.74267714,-74.05178863,40.7211236,-74.03805095,26234,Subscriber,1986,1,9/18/19
419,15:10.8,22:10.0,40.72163014,-74.04996783,40.71458404,-74.04281706,29617,Subscriber,1988,1,5/6/19
203,19:06.0,22:29.1,40.71942,-74.05099,40.72333159,-74.04595256,27403,Subscriber,1987,1,11/18/20
1705,38:59.9,07:25.4,40.71942,-74.05099,40.7242941,-74.0354826,42516,Customer,1997,1,5/22/20
333,38:06.2,43:39.3,40.7241765,-74.0506564,40.71958612,-74.04311746,29641,Subscriber,1982,2,3/29/19
219,39:23.5,43:03.4,40.72152515,-74.04630454,40.72759597,-74.04424731,29253,Subscriber,1990,2,3/14/19
197,36:47.8,40:05.5,40.73367,-74.0625,40.737711,-74.066921,42215,Subscriber,1974,2,5/22/20
238,04:11.6,08:10.2,40.7141454,-74.0335519,40.7183552,-74.03891444,26186,Subscriber,1981,1,2/1/19
644,10:02.8,20:47.6,40.72759597,-74.04424731,40.7241765,-74.0506564,26163,Subscriber,1984,1,7/3/19
612,54:07.9,04:20.0,40.73496102,-74.05950308,40.74267714,-74.05178863,29654,Subscriber,1995,2,9/22/19
103,13:35.7,15:19.7,40.72601173,-74.05038893,40.72528911,-74.04557168,26214,Subscriber,1964,1,8/5/19
314,40:08.3,45:22.5,40.72572614,-74.07195926,40.7308971,-74.06391263,29582,Subscriber,1970,1,7/26/19
1153,50:01.1,09:14.5,40.7141454,-74.0335519,40.7272235,-74.0337589,42219,Customer,1991,2,7/8/20
232,43:55.9,47:47.9,40.72533993,-74.06762213,40.7308971,-74.06391263,44239,Subscriber,1994,1,9/1/20
262,05:48.2,10:10.3,40.71958612,-74.04311746,40.72759597,-74.04424731,26257,Subscriber,1973,2,6/2/19
328,55:09.7,00:38.7,40.7287448,-74.0321082,40.7183552,-74.03891444,46530,Subscriber,1980,1,1/6/21
216,41:05.3,44:42.0,40.71458404,-74.04281706,40.71958612,-74.04311746,29242,Subscriber,1991,1,7/11/19
375,16:10.4,22:25.4,40.7112423,-74.0557013,40.71653978,-74.04963791,29234,Subscriber,1980,2,2/23/19
290,33:00.9,37:51.2,40.71458404,-74.04281706,40.71687,-74.03281,26220,Subscriber,1991,1,10/13/19
144,10:48.8,13:12.9,40.7242941,-74.0354826,40.7272235,-74.0337589,42230,Subscriber,1991,2,7/23/20
121,45:28.0,47:29.4,40.7211236,-74.03805095,40.7183552,-74.03891444,15803,Subscriber,1991,1,10/16/20
2456,23:59.8,04:56.5,40.74871595,-74.0404433,40.72165072,-74.04288411,42596,Subscriber,2002,2,5/16/20
142,20:38.4,23:01.3,40.71848892,-74.04772663,40.71958612,-74.04311746,26238,Subscriber,1977,1,7/6/19
1252,53:17.3,14:09.6,40.7443187,-74.0439909,40.7242941,-74.0354826,44229,Customer,1969,0,9/22/20
741,11:47.0,24:08.3,40.7272235,-74.0337589,40.72333159,-74.04595256,29234,Customer,1969,0,8/11/19
167,24:52.5,27:39.6,40.71458404,-74.04281706,40.71958612,-74.04311746,42128,Subscriber,1992,1,2/19/20
906,55:05.2,10:12.0,40.72528911,-74.04557168,40.71241882,-74.03852552,47257,Customer,1987,1,9/24/20
2770,37:34.4,23:44.6,40.7192822,-74.07126188,40.73520838,-74.04696375,44237,Customer,1969,0,7/29/20
134,25:21.3,27:35.4,40.7272235,-74.0337589,40.7242941,-74.0354826,29681,Subscriber,1988,1,5/16/19
139,08:50.3,11:10.2,40.72163014,-74.04996783,40.71958612,-74.04311746,26260,Subscriber,1976,1,8/28/19
324,02:09.4,07:34.0,40.71517768,-74.03768331,40.71517768,-74.03768331,42333,Customer,1988,1,5/25/20
580,35:54.6,45:34.9,40.7141454,-74.0335519,40.7287448,-74.0321082,42150,Customer,1989,1,4/8/20
683,06:06.9,17:30.8,40.7242941,-74.0354826,40.73520838,-74.04696375,29584,Customer,1976,1,9/18/19
906,33:38.8,48:45.5,40.7183552,-74.03891444,40.7287448,-74.0321082,42229,Customer,1971,2,6/20/20
245,36:33.1,40:38.3,40.72333159,-74.04595256,40.72601173,-74.05038893,26196,Subscriber,1970,1,11/23/19
685,03:40.4,15:05.7,40.71458404,-74.04281706,40.72528911,-74.04557168,26431,Subscriber,1977,2,11/25/19
834,03:51.9,17:46.2,40.71649,-74.04105,40.72759597,-74.04424731,44228,Customer,1969,0,7/25/20
188,16:01.5,19:10.4,40.71958612,-74.04311746,40.72163014,-74.04996783,29264,Subscriber,1976,1,7/2/19
1270,12:52.7,34:03.5,40.71687,-74.03281,40.73520838,-74.04696375,45256,Customer,1969,0,10/10/20
1947,51:44.5,24:12.4,40.7287448,-74.0321082,40.7287448,-74.0321082,42379,Customer,1969,0,6/16/20
1062,26:58.2,44:40.4,40.71653978,-74.04963791,40.74871595,-74.0404433,29503,Subscriber,1984,1,6/13/19
282,47:12.5,51:55.2,40.7211236,-74.03805095,40.7287448,-74.0321082,29120,Subscriber,1986,1,9/2/19
225,04:10.0,07:55.3,40.71517768,-74.03768331,40.71687,-74.03281,26251,Subscriber,1993,2,8/16/19
307,23:18.7,28:26.3,40.71687,-74.03281,40.71241882,-74.03852552,29491,Subscriber,1976,2,8/2/19
580,48:34.4,58:14.9,40.7141454,-74.0335519,40.7272235,-74.0337589,42392,Customer,1991,2,7/19/20
277,42:26.4,47:03.8,40.7272235,-74.0337589,40.7192517,-74.034234,29647,Subscriber,1963,1,4/11/19
446,10:26.9,17:53.0,40.71958612,-74.04311746,40.7141454,-74.0335519,42605,Subscriber,1981,2,8/16/20
297,31:10.9,36:08.8,40.72165072,-74.04288411,40.7192517,-74.034234,29676,Subscriber,1966,1,6/25/19
443,57:09.6,04:33.1,40.7127742,-74.0364857,40.7272235,-74.0337589,29569,Subscriber,1963,1,4/12/19
204,51:01.3,54:25.5,40.71958612,-74.04311746,40.72333159,-74.04595256,26210,Subscriber,1978,1,10/9/19
138,33:24.4,35:42.4,40.7272235,-74.0337589,40.7242941,-74.0354826,29289,Subscriber,1996,1,1/6/20
505,15:08.1,23:33.3,40.71241882,-74.03852552,40.72152515,-74.04630454,26155,Subscriber,1983,1,6/14/19
346,33:13.2,38:59.3,40.74267714,-74.05178863,40.73367,-74.0625,29569,Subscriber,1988,1,6/19/19
1234,38:41.8,59:16.6,40.7287448,-74.0321082,40.71653978,-74.04963791,43361,Customer,1969,0,7/25/20
1070,28:33.9,46:24.2,40.7236589,-74.0641943,40.7211236,-74.03805095,44387,Customer,1969,0,10/24/20
468,20:15.5,28:03.6,40.7308971,-74.06391263,40.73478582,-74.05044364,26171,Subscriber,1961,1,5/9/19
235,36:06.8,40:02.1,40.72572614,-74.07195926,40.7308971,-74.06391263,26254,Subscriber,1988,1,5/24/19
426,47:36.9,54:43.8,40.7192517,-74.034234,40.72759597,-74.04424731,29667,Subscriber,1992,1,3/25/19
352,20:45.4,26:37.4,40.71241882,-74.03852552,40.71687,-74.03281,26292,Subscriber,1989,1,9/17/19
814,45:18.3,58:53.2,40.7443187,-74.0439909,40.71653978,-74.04963791,29547,Subscriber,1991,1,1/19/20
216,22:22.4,25:59.1,40.71958612,-74.04311746,40.72163014,-74.04996783,26217,Subscriber,1986,1,5/8/19
336,01:43.7,07:20.6,40.7183552,-74.03891444,40.7272235,-74.0337589,29472,Subscriber,1992,2,5/2/19
306,56:53.6,01:59.7,40.72601173,-74.05038893,40.71958612,-74.04311746,29457,Subscriber,1969,0,11/20/19
476,03:06.9,11:03.5,40.7272235,-74.0337589,40.72333159,-74.04595256,26177,Subscriber,1982,2,10/19/19
476,42:10.5,50:07.2,40.71848892,-74.04772663,40.71687,-74.03281,42481,Subscriber,1987,1,8/13/20
844,37:03.3,51:07.4,40.72528911,-74.04557168,40.7211236,-74.03805095,29291,Customer,1991,2,7/12/19
225,52:24.7,56:10.5,40.72333159,-74.04595256,40.72759597,-74.04424731,42198,Subscriber,1970,1,2/4/20
513,18:40.2,27:13.3,40.71435837,-74.06661093,40.71958612,-74.04311746,29573,Subscriber,1982,1,5/8/19
821,10:16.1,23:57.9,40.7141454,-74.0335519,40.71241882,-74.03852552,42544,Customer,1983,1,5/20/20
160,23:12.8,25:53.5,40.72568548,-74.04879034,40.72333159,-74.04595256,44912,Subscriber,1987,1,10/25/20
540,18:44.9,27:45.7,40.72759597,-74.04424731,40.72759597,-74.04424731,44603,Subscriber,1981,2,11/6/20
9177,32:51.6,05:48.7,40.74590997,-74.05727148,40.74590997,-74.05727148,29225,Customer,1969,0,7/7/19
511,59:53.4,08:24.7,40.72759597,-74.04424731,40.7287448,-74.0321082,26216,Subscriber,1983,2,11/25/19
226,00:40.8,04:27.7,40.7183552,-74.03891444,40.72152515,-74.04630454,29634,Subscriber,1993,1,10/15/19
135,40:37.8,42:53.3,40.71958612,-74.04311746,40.72333159,-74.04595256,42128,Subscriber,1984,1,2/14/20
325,54:49.7,00:15.6,40.72528911,-74.04557168,40.71958612,-74.04311746,29514,Subscriber,1951,1,1/22/20
328,47:34.8,53:02.8,40.73496102,-74.05950308,40.74267714,-74.05178863,29218,Subscriber,1986,1,8/12/19
236,29:18.4,33:14.5,40.7162469,-74.0334588,40.71241882,-74.03852552,29591,Subscriber,1989,1,4/15/19
261,58:43.8,03:05.4,40.7272235,-74.0337589,40.7211236,-74.03805095,29210,Subscriber,1973,1,11/20/19
925,42:14.3,57:39.8,40.71241882,-74.03852552,40.7272235,-74.0337589,44739,Customer,1969,0,10/21/20
320,50:53.6,56:14.4,40.7183552,-74.03891444,40.71653978,-74.04963791,42394,Subscriber,1989,2,2/24/20
2958,16:46.4,06:04.5,40.7246051,-74.07840595,40.7246051,-74.07840595,44389,Customer,1969,0,9/22/20
250,25:40.3,29:50.7,40.71687,-74.03281,40.71241882,-74.03852552,42354,Subscriber,1967,1,10/6/20
1678,07:31.7,35:29.8,40.71435837,-74.06661093,40.7211236,-74.03805095,29588,Customer,1969,0,8/12/19
443,55:25.0,02:48.6,40.7308971,-74.06391263,40.7246051,-74.07840595,21488,Subscriber,1992,1,10/13/20
261,30:46.4,35:07.8,40.72759597,-74.04424731,40.71958612,-74.04311746,29200,Subscriber,1998,1,7/13/19
2590,59:10.6,42:20.7,40.7192517,-74.034234,40.7192517,-74.034234,42528,Subscriber,1970,1,4/4/20
356,12:11.5,18:08.1,40.71653978,-74.04963791,40.7177325,-74.043845,26299,Subscriber,1983,1,1/27/20
186,19:10.1,22:17.0,40.72165072,-74.04288411,40.72528911,-74.04557168,29541,Subscriber,1967,1,1/10/20
758,02:53.4,15:31.8,40.71458404,-74.04281706,40.71687,-74.03281,29491,Subscriber,1986,2,11/16/19
1719,43:27.3,12:06.5,40.71687,-74.03281,40.71687,-74.03281,42409,Customer,1969,0,6/1/20
7885,54:14.2,05:39.3,40.7236589,-74.0641943,40.7236589,-74.0641943,29469,Customer,1992,1,5/27/19
